WORD,TOTAL SCORE,UNIQUE SCORE
shunt,7806,7806
maybe,7801,7801
corer,9708,7798
voice,7798,7798
still,9382,7796
stilt,9381,7796
inner,9081,7796
audit,7795,7795
blaze,7793,7793
clove,7792,7792
covet,7791,7791
adult,7789,7789
enter,10798,7789
fiber,7787,7787
brief,7787,7787
fibre,7787,7787
smack,7784,7784
viper,7784,7784
shall,9367,7781
slash,10814,7781
stash,10813,7780
mural,7776,7776
blend,7776,7776
haven,7774,7774
dusty,7774,7774
study,7774,7774
antic,7774,7774
elite,10781,7772
title,9357,7772
waive,7772,7772
aware,10120,7772
slick,7771,7771
stick,7770,7770
seize,10778,7769
plain,7766,7766
paint,7765,7765
voila,7759,7759
plant,7759,7759
viola,7759,7759
tarot,9343,7758
aorta,10106,7758
glaze,7757,7757
heath,8570,7756
theta,9341,7756
shack,7755,7755
sauna,10103,7755
viral,7754,7754
rival,7754,7754
grief,7751,7751
spiny,7751,7751
braid,7746,7746
rabid,7746,7746
deign,7746,7746
sorry,9654,7744
croak,7733,7733
gnome,7731,7731
below,7730,7730
bowel,7730,7730
elbow,7730,7730
piney,7727,7727
broil,7718,7718
orbit,7717,7717
stood,9629,7714
joust,7711,7711
scrub,7711,7711
cleft,7705,7705
squad,7704,7704
sight,7703,7703
abhor,7702,7702
derby,7701,7701
diode,8878,7697
inlay,7697,7697
chafe,7696,7696
mince,7693,7693
silky,7693,7693
rider,9602,7692
frisk,7692,7692
dried,8873,7692
drier,9602,7692
basis,10721,7688
boxer,7688,7688
elder,10695,7686
devil,7686,7686
deter,10694,7685
party,7684,7684
swamp,7684,7684
basal,10030,7682
eight,7679,7679
suing,7678,7678
using,7678,7678
movie,7677,7677
shaky,7677,7677
slung,7672,7672
stung,7671,7671
niche,7664,7664
plaid,7662,7662
label,9244,7658
abate,10005,7657
epoch,7657,7657
twice,7655,7655
about,7652,7652
perch,7652,7652
quote,7651,7651
lunge,7648,7648
glass,10679,7646
seven,10654,7645
hovel,7642,7642
purge,7642,7642
tramp,7641,7641
vegan,7639,7639
pilot,7633,7633
dicey,7632,7632
chair,7628,7628
fiend,7628,7628
lefty,7627,7627
snowy,7624,7624
legal,9208,7622
algae,9970,7622
eagle,10631,7622
stout,9207,7622
chart,7621,7621
agate,9969,7621
foray,7620,7620
strut,9202,7617
truss,10650,7617
trust,9202,7617
ralph,7613,7613
mercy,7612,7612
randy,7610,7610
shiny,7610,7610
buyer,7609,7609
mauve,7607,7607
prize,7601,7601
apnea,9945,7597
ruler,9504,7594
utter,9178,7593
truer,9503,7593
daily,7593,7593
medic,7589,7589
slunk,7589,7589
stunk,7588,7588
irony,7588,7588
draft,7585,7585
shift,7585,7585
bilge,7581,7581
debut,7579,7579
loamy,7578,7578
hyper,7574,7574
nomad,7572,7572
widen,7572,7572
focus,7562,7562
shrub,7561,7561
thief,7561,7561
brush,7561,7561
chide,7560,7560
women,7557,7557
knave,7556,7556
shown,7552,7552
hairy,7550,7550
guide,7550,7550
admit,7549,7549
minor,7545,7545
depth,7544,7544
gross,10570,7537
drawl,7530,7530
froze,7530,7530
dunce,7528,7528
staff,8088,7527
shrug,7525,7525
dozen,7525,7525
music,7521,7521
joker,7519,7519
rhino,7516,7516
gorge,8192,7513
roger,9423,7513
north,7509,7509
thorn,7509,7509
giver,7508,7508
glove,7507,7507
slump,7506,7506
while,7506,7506
stump,7505,7505
white,7505,7505
fella,9090,7504
sweep,10511,7502
afoul,7499,7499
stint,9080,7495
cigar,7493,7493
coven,7491,7491
align,7490,7490
giant,7489,7489
sloop,9404,7489
spool,9404,7489
daunt,7488,7488
stoop,9403,7488
enema,10494,7485
cyber,7484,7484
plume,7482,7482
plush,7477,7477
crier,9385,7475
cello,9060,7474
octet,9058,7473
linen,8757,7472
curio,7470,7470
evict,7468,7468
erect,10477,7468
riper,9376,7466
piper,8421,7466
elope,10474,7465
court,7463,7463
rhyme,7462,7462
befit,7462,7462
chute,7461,7461
repel,10469,7460
leper,10469,7460
eying,7451,7451
vapor,7446,7446
vague,7443,7443
brand,7439,7439
musty,7436,7436
tiara,9783,7435
trait,9020,7435
allot,9020,7434
atoll,9020,7434
total,9019,7434
spicy,7430,7430
altar,9777,7429
vital,7429,7429
sooty,9334,7419
robin,7417,7417
tryst,8999,7414
envoy,7413,7413
femur,7412,7412
cloak,7409,7409
gonad,7408,7408
exult,7408,7408
grand,7403,7403
track,7403,7403
polka,7400,7400
offer,7956,7395
leery,10400,7391
retry,9300,7390
groin,7381,7381
round,7380,7380
neigh,7379,7379
hinge,7379,7379
ovary,7377,7377
heavy,7375,7375
focal,7374,7374
final,7372,7372
faint,7371,7371
venom,7370,7370
craft,7368,7368
elide,10377,7368
aptly,7360,7360
lurid,7358,7358
perky,7356,7356
wince,7355,7355
avoid,7354,7354
ardor,9264,7354
ahead,9700,7352
totem,8937,7352
smock,7351,7351
slosh,10381,7348
meter,10356,7347
shoot,9262,7347
urban,7347,7347
sooth,9262,7347
tumor,7342,7342
tonic,7341,7341
wooer,9254,7339
rower,9249,7339
quash,7337,7337
claim,7333,7333
vowel,7333,7333
point,7332,7332
pinto,7332,7332
quiet,7328,7328
quite,7328,7328
sense,13369,7327
print,7327,7327
hello,8910,7324
tubal,7323,7323
